--------- beginning of main
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.adpf is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.location.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settingslib.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.managedprovisioning.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.assist.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.net is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settingslib.widget.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.camera.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.hardware.libsensor.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.jank is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.providers.settings is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.multiuser is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.power.optimization is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.calllogbackup is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.mediasession.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.graphics.libvulkan.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.appfunctions.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.smartspace.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.providers.contacts.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.shell.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.aaudio is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.hardware.radio is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: suspend_service.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.media.midi is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.libcore.readonly is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.notification is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.systemui.shared is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.jank is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.wearable is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.audio is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.chooser is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.compat is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.alarm is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.apex.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.quickaccesswallet is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.usage is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.accessibility is mapped to system
